full breakdown is:
Ziyoge 98-E7-F4-F0-89-87 =447,476 bm
SANTA BRO 4C-ED-FB-CA-CE-03 =435,558 bm
Ty 4 U Str 58-A0-23-19-F0-32 =430,062 bm
Respect 70-85-C2-84-B8-6E =430,002 bm
Tony777 80-C5-F2-CB-D6-07 =427,543 bm
Morp 74-D4-35-FB-BE-AB =420,275 bm
Zrea 1C-BF-C0-37-03-67 =416,131 bm
Yo Im Alex 34-7D-F6-BE-20-67 =412,215 bm
WiseKillah F8-89-D2-ED-B3-DB =410,345 bm
Villuminati B0-7B-25-23-BE-FA =406,481 bm
Yosef 40-1C-83-3B-BE-9C =400,222 bm
CleanNinja 00-25-22-E7-F8-99 =389,664 bm
Murphin CC-40-D0-53-4C-4F =389,592 bm
BD Demon FC-34-97-14-BB-1D =381,045 bm
Tssks 30-9C-23-B7-1F-1F =381,000 bm
1312pk 6C-71-D9-DD-7C-F2 =380,581 bm
Redemption B0-FC-36-B4-74-1F =379,205 bm
Icy Pokes RS 18-03-73-32-37-D5 =368,000 bm
Hltcher 54-05-DB-6B-05-E4 =367,604 bm
Alt 18-C0-4D-08-CF-8F =363,845 bm
Tweetmykill 80-2B-F9-84-A0-FB =359,033 bm
Life 74-DA-38-E2-5E-0C =350,342 bm
Tato B8-81-98-87-80-48 =349,725 bm
56yHWQnn 1C-BF-C0-37-03-67 =349,631 bm
Vex 00-BB-60-88-D9-CA =344,063 bm
Odablack B0-83-FE-54-A1-22 =341,569 bm
DarkCronos 00-1C-BF-06-06-8C =336,408 bm
Cioze 3C-7C-3F-BD-A2-14 =336,391 bm
Invokesorin 74-40-BB-E6-17-59 =333,920 bm
Rsps St0ry 40-8D-5C-18-D0-D7 =332,089 bm
German0wn B8-97-5A-E3-B7-FD =331,332 bm
Venereal EC-55-F9-88-7F-FB =329,022 bm
JAPAN SYSTEM 9C-30-5B-F8-FD-CD =325,401 bm
Lets Go 18-C0-4D-08-CF-8F =324,206 bm
King Ferox invalid =322,500 bm
Aubreigh 5C-BA-EF-5D-16-DD =315,915 bm
5aq Ragbot 18-C0-4D-08-CF-8F =313,027 bm
Gamergirl 02-15-78-96-52-14 =299,400 bm
Cano D4-3D-7E-DC-D8-5C =299,156 bm
Atlas 64-27-37-32-E0-47 =298,829 bm
Kieone12 04-D9-F5-1D-3E-43 =297,206 bm
Gflanors 14-F6-D8-18-7A-09 =295,000 bm
Jodah 24-4B-FE-CA-A4-A8 =288,660 bm
Blucks Rng E8-40-F2-AB-CC-A6 =274,991 bm
King Of Air 78-92-9C-BD-1F-FE =264,847 bm
Armed Danger 10-5B-AD-DF-15-9D =263,978 bm
Am I A God BC-AE-C5-19-EF-80 =259,168 bm
Halphas 38-F3-AB-22-52-ED =258,812 bm
Oda3 F8-B1-56-B3-93-2B =257,650 bm
Get Rekt 60-6C-66-AD-4E-90 =257,062 bm
Fishing 00-FF-6D-95-2C-CB =252,427 bm
XS invalid =250,585 bm
Level 42 98-EE-CB-7E-C0-42 =249,689 bm
Cj 64-BC-58-83-92-67 =243,273 bm
Don Petro 20-1E-88-19-06-D1 =240,950 bm
Bashar 9C-FC-E8-7D-BF-31 =239,634 bm
Sandy 28-B2-BD-84-E6-2B =235,060 bm
Fortnite A8-5E-45-70-4F-AE =227,725 bm
30clip invalid =220,000 bm
Mathew B0-7B-25-23-BE-FA =219,241 bm
DM 4 0FF 98-48-27-57-56-63 =211,586 bm
Im It 28-B2-BD-84-E6-2B =211,098 bm
THOMAS EGAN 00-E0-4C-46-32-EE =209,829 bm
Jhin 4C-CC-6A-CD-B1-49 =207,974 bm
Kellu 08-ED-B9-22-E4-4D =206,367 bm
Gh0stt 98-8D-46-5C-2B-AA =206,111 bm
Wafel invalid =204,846 bm
Cool 94-E7-0B-C6-B0-10 =203,500 bm
Seraph C4-41-1E-FE-38-6B =202,367 bm
Felon 70-85-C2-8D-66-E7 =194,741 bm
Donthatetis1 94-53-30-91-05-09 =193,875 bm
Wr 84-3A-4B-9D-F9-44 =193,503 bm
Muradin D0-50-99-A6-9B-18 =193,069 bm
Julian 00-2B-67-32-53-C7 =188,682 bm
Sick 0E-11-52-91-93-23 =184,656 bm
Logan XD 00-50-56-C0-00-08 =183,700 bm
JAXS 14-F6-D8-B4-68-01 =183,201 bm
Dziamalis 80-2B-F9-32-9A-67 =181,207 bm
Top Win invalid =179,826 bm
Pvp Rng 5A-00-97-B8-6F-FE =175,000 bm
Izacos2 08-ED-B9-22-E4-4D =173,603 bm
Rsps 9C-30-5B-F8-FD-CD =168,745 bm
Racoon A4-BB-6D-CE-1D-8A =168,000 bm
Proolax 98-EE-CB-C9-62-7D =167,777 bm
Meakz 80-E6-50-01-FC-BE =167,343 bm
